date,description,amount,type
2024-08-01,Landlord Rent Payment,18000.00,debit
2024-08-03,Meralco Electric Bill,3100.00,debit
2024-08-03,Manila Water,780.00,debit
2024-08-05,Netflix Subscription,649.00,debit
2024-08-05,Spotify Premium,169.00,debit
2024-08-07,Sprout Salary Loan,5000.00,debit
2024-08-10,SM Supermarket,5100.00,debit
2024-08-12,Mercury Drug,1750.00,debit
2024-08-14,Grab Transport,3300.00,debit
2024-08-15,Metered Taxi,800.00,debit
2024-08-08,GRAB*FOOD 8101,4800.00,debit
2024-08-11,GRAB*FOOD 8102,450.00,debit
2024-08-18,GRAB*FOOD 8103,380.00,debit
2024-08-22,GRAB*FOOD 8104,520.00,debit
2024-08-10,Shopee Purchase,1800.00,debit
2024-08-20,Lazada Order,200.00,debit
2024-08-16,Coffee Bean & Tea Leaf,450.00,debit
2024-08-25,Starbucks,550.00,debit
2024-09-01,Landlord Rent Payment,18000.00,debit
2024-09-03,Meralco Electric Bill,3200.00,debit
2024-09-03,Manila Water,800.00,debit
2024-09-05,Netflix Subscription,649.00,debit
2024-09-05,Spotify Premium,169.00,debit
2024-09-07,Sprout Salary Loan,5000.00,debit
2024-09-10,SM Supermarket,5200.00,debit
2024-09-12,Mercury Drug,1800.00,debit
2024-09-14,Grab Transport,3400.00,debit
2024-09-15,Metered Taxi,800.00,debit
2024-09-08,GRAB*FOOD 9101,5200.00,debit
2024-09-13,GRAB*FOOD 9102,600.00,debit
2024-09-19,GRAB*FOOD 9103,420.00,debit
2024-09-24,GRAB*FOOD 9104,580.00,debit
2024-09-10,Shopee Purchase,2100.00,debit
2024-09-22,Lazada Order,340.00,debit
2024-09-16,Coffee Bean & Tea Leaf,500.00,debit
2024-09-25,Starbucks,500.00,debit
2024-10-01,Landlord Rent Payment,18000.00,debit
2024-10-03,Meralco Electric Bill,3250.00,debit
2024-10-03,Manila Water,810.00,debit
2024-10-05,Netflix Subscription,649.00,debit
2024-10-05,Spotify Premium,169.00,debit
2024-10-07,Sprout Salary Loan,5000.00,debit
2024-10-10,SM Supermarket,5250.00,debit
2024-10-12,Mercury Drug,1850.00,debit
2024-10-14,Grab Transport,3500.00,debit
2024-10-15,Metered Taxi,800.00,debit
2024-10-08,GRAB*FOOD 1001,6100.00,debit
2024-10-13,GRAB*FOOD 1002,700.00,debit
2024-10-19,GRAB*FOOD 1003,480.00,debit
2024-10-24,GRAB*FOOD 1004,620.00,debit
2024-10-10,Shopee Purchase,2500.00,debit
2024-10-22,Lazada Order,440.00,debit
2024-10-16,Coffee Bean & Tea Leaf,520.00,debit
2024-10-25,Starbucks,480.00,debit
2024-11-01,Landlord Rent Payment,18000.00,debit
2024-11-03,Meralco Electric Bill,3300.00,debit
2024-11-03,Manila Water,820.00,debit
2024-11-05,Netflix Subscription,649.00,debit
2024-11-05,Spotify Premium,169.00,debit
2024-11-07,Sprout Salary Loan,5000.00,debit
2024-11-10,SM Supermarket,5300.00,debit
2024-11-12,Mercury Drug,1850.00,debit
2024-11-14,Grab Transport,3500.00,debit
2024-11-15,Metered Taxi,800.00,debit
2024-11-08,GRAB*FOOD 1101,7200.00,debit
2024-11-13,GRAB*FOOD 1102,800.00,debit
2024-11-19,GRAB*FOOD 1103,550.00,debit
2024-11-24,GRAB*FOOD 1104,650.00,debit
2024-11-10,Shopee Purchase,3000.00,debit
2024-11-22,Lazada Order,500.00,debit
2024-11-16,Coffee Bean & Tea Leaf,500.00,debit
2024-11-25,Starbucks,500.00,debit
